,animal name,DBpedia_URI,rdf2vec_tag
66,porpoise,http://dbpedia.org/resource/Porpoise,<http://dbpedia.org/resource/Porpoise>
67,puma,http://dbpedia.org/resource/Puma,<http://dbpedia.org/resource/Puma>
68,pussycat,http://dbpedia.org/resource/Pussycat,<http://dbpedia.org/resource/Pussycat>
69,raccoon,http://dbpedia.org/resource/Raccoon,<http://dbpedia.org/resource/Raccoon>
70,reindeer,http://dbpedia.org/resource/Reindeer,<http://dbpedia.org/resource/Reindeer>
71,rhea,http://dbpedia.org/resource/Rhea,<http://dbpedia.org/resource/Rhea>
72,scorpion,http://dbpedia.org/resource/Scorpion,<http://dbpedia.org/resource/Scorpion>
73,seahorse,http://dbpedia.org/resource/Seahorse,<http://dbpedia.org/resource/Seahorse>
74,seal,http://dbpedia.org/resource/Seal,<http://dbpedia.org/resource/Seal>
75,sealion,http://dbpedia.org/resource/Sealion,<http://dbpedia.org/resource/Sealion>
76,seasnake,http://dbpedia.org/resource/Seasnake,<http://dbpedia.org/resource/Seasnake>
77,seawasp,http://dbpedia.org/resource/Seawasp,<http://dbpedia.org/resource/Seawasp>
78,skimmer,http://dbpedia.org/resource/Skimmer,<http://dbpedia.org/resource/Skimmer>
79,skua,http://dbpedia.org/resource/Skua,<http://dbpedia.org/resource/Skua>
80,slowworm,http://dbpedia.org/resource/Slowworm,<http://dbpedia.org/resource/Slowworm>
81,slug,http://dbpedia.org/resource/Slug,<http://dbpedia.org/resource/Slug>
82,sole,http://dbpedia.org/resource/Sole,<http://dbpedia.org/resource/Sole>
83,sparrow,http://dbpedia.org/resource/Sparrow,<http://dbpedia.org/resource/Sparrow>
84,squirrel,http://dbpedia.org/resource/Squirrel,<http://dbpedia.org/resource/Squirrel>
85,starfish,http://dbpedia.org/resource/Starfish,<http://dbpedia.org/resource/Starfish>
86,stingray,http://dbpedia.org/resource/Stingray,<http://dbpedia.org/resource/Stingray>
87,swan,http://dbpedia.org/resource/Swan,<http://dbpedia.org/resource/Swan>
88,termite,http://dbpedia.org/resource/Termite,<http://dbpedia.org/resource/Termite>
89,toad,http://dbpedia.org/resource/Toad,<http://dbpedia.org/resource/Toad>
90,tortoise,http://dbpedia.org/resource/Tortoise,<http://dbpedia.org/resource/Tortoise>
91,tuatara,http://dbpedia.org/resource/Tuatara,<http://dbpedia.org/resource/Tuatara>
92,tuna,http://dbpedia.org/resource/Tuna,<http://dbpedia.org/resource/Tuna>
93,vampire,http://dbpedia.org/resource/Vampire,<http://dbpedia.org/resource/Vampire>
94,vole,http://dbpedia.org/resource/Vole,<http://dbpedia.org/resource/Vole>
95,vulture,http://dbpedia.org/resource/Vulture,<http://dbpedia.org/resource/Vulture>
96,wallaby,http://dbpedia.org/resource/Wallaby,<http://dbpedia.org/resource/Wallaby>
97,wasp,http://dbpedia.org/resource/Wasp,<http://dbpedia.org/resource/Wasp>
98,wolf,http://dbpedia.org/resource/Wolf,<http://dbpedia.org/resource/Wolf>
99,worm,http://dbpedia.org/resource/Worm,<http://dbpedia.org/resource/Worm>
100,wren,http://dbpedia.org/resource/Wren,<http://dbpedia.org/resource/Wren>
