class,rdf2vec_tag
amphibian,<http://dbpedia.org/resource/Blue_Mountains_tree_frog>
fish,<http://dbpedia.org/resource/Bluespotted_stingray>
reptile,<http://dbpedia.org/resource/Bitis_arietans>
mammal,<http://dbpedia.org/resource/East_Asian_tailless_leaf-nosed_bat>
insect,<http://dbpedia.org/resource/Coleophora_mcdunnoughiella>
mammal,<http://dbpedia.org/resource/Apennine_shrew>
bird,<http://dbpedia.org/resource/Red-shouldered_blackbird>
insect,<http://dbpedia.org/resource/Acronicta_americana>
insect,<http://dbpedia.org/resource/Acrolophus_maculisecta>
reptile,<http://dbpedia.org/resource/Durango_night_lizard>
invertebrate,<http://dbpedia.org/resource/Pisidium_personatum>
reptile,<http://dbpedia.org/resource/Bedriaga's_fringe-fingered_lizard>
mammal,<http://dbpedia.org/resource/Texas_pocket_gopher>
mammal,<http://dbpedia.org/resource/Müller's_giant_Sunda_rat>
insect,<http://dbpedia.org/resource/Heliura_quadriflavata>
fish,<http://dbpedia.org/resource/Gecko_catshark>
mammal,<http://dbpedia.org/resource/Roan_antelope>
fish,<http://dbpedia.org/resource/Smalldorsal_catshark>
insect,<http://dbpedia.org/resource/Ypsolopha_sculpturella>
insect,<http://dbpedia.org/resource/Petrophila_pantheralis>
fish,<http://dbpedia.org/resource/Shorttailed_shortfaced_eel>
fish,<http://dbpedia.org/resource/Synodontis_longispinis>
invertebrate,<http://dbpedia.org/resource/Corosalia_tigrina>
insect,<http://dbpedia.org/resource/Ancylosis_albifrontella>
mammal,<http://dbpedia.org/resource/Western_ringtail_possum>
bird,<http://dbpedia.org/resource/Ross's_gull>
insect,<http://dbpedia.org/resource/Amselina_cedestiella>
fish,<http://dbpedia.org/resource/Plectroglyphidodon_lacrymatus>
reptile,<http://dbpedia.org/resource/Prasinohaema_virens>
invertebrate,<http://dbpedia.org/resource/Mulinia>
reptile,<http://dbpedia.org/resource/Fukuiraptor>
invertebrate,<http://dbpedia.org/resource/Aruattus>
fish,<http://dbpedia.org/resource/Mimoblennius_cas>
bird,<http://dbpedia.org/resource/Masked_fruiteater>
insect,<http://dbpedia.org/resource/Frea_taverniersi>
invertebrate,<http://dbpedia.org/resource/Diplodon_fontaineanus>
bird,<http://dbpedia.org/resource/Speckled_pigeon>
bird,<http://dbpedia.org/resource/Black-headed_bulbul>
bird,<http://dbpedia.org/resource/Pygmy_palm_swift>
mammal,<http://dbpedia.org/resource/Diplacodon>
mammal,<http://dbpedia.org/resource/Lomaphorus>
insect,<http://dbpedia.org/resource/Phiditia>
bird,<http://dbpedia.org/resource/Pygmy_tyrant>
reptile,<http://dbpedia.org/resource/Bradypodion>
mammal,<http://dbpedia.org/resource/Daphoeninae>
mammal,<http://dbpedia.org/resource/Omilteme_cottontail>
bird,<http://dbpedia.org/resource/Laniocera>
amphibian,<http://dbpedia.org/resource/Angiana_tree_frog>
reptile,<http://dbpedia.org/resource/Letheobia_caeca>
insect,<http://dbpedia.org/resource/Dioptis_leucothyris>
mammal,<http://dbpedia.org/resource/Megalomys_curazensis>
mammal,<http://dbpedia.org/resource/Lestodon>
insect,<http://dbpedia.org/resource/Leucania>
bird,<http://dbpedia.org/resource/Brown_trembler>
amphibian,<http://dbpedia.org/resource/Cardioglossa_nigromaculata>
fish,<http://dbpedia.org/resource/Brownspotted_catshark>
fish,<http://dbpedia.org/resource/Chanodichthys_abramoides>
insect,<http://dbpedia.org/resource/Atascosa_(moth)>
reptile,<http://dbpedia.org/resource/Pachydactylus_labialis>
bird,<http://dbpedia.org/resource/Grey-headed_robin>
invertebrate,<http://dbpedia.org/resource/Dasumia_amoena>
invertebrate,<http://dbpedia.org/resource/Nototropis>
fish,<http://dbpedia.org/resource/Rasbora_amplistriga>
fish,<http://dbpedia.org/resource/Chalaroderma_capito>
insect,<http://dbpedia.org/resource/Parademostis>
amphibian,<http://dbpedia.org/resource/Kassina>
bird,<http://dbpedia.org/resource/Fork-tailed_flycatcher>
invertebrate,<http://dbpedia.org/resource/Acutigebia_danai>
reptile,<http://dbpedia.org/resource/Furrowed_wood_turtle>
mammal,<http://dbpedia.org/resource/Cloud_forest_grass_mouse>
bird,<http://dbpedia.org/resource/Flame-throated_bulbul>
amphibian,<http://dbpedia.org/resource/Hyperolius_semidiscus>
fish,<http://dbpedia.org/resource/Synodus>
bird,<http://dbpedia.org/resource/Griffon_vulture>
insect,<http://dbpedia.org/resource/Nevromus>
fish,<http://dbpedia.org/resource/Golden_angelfish>
fish,<http://dbpedia.org/resource/Red-cheek_wrasse>
fish,<http://dbpedia.org/resource/Redband_darter>
invertebrate,<http://dbpedia.org/resource/Gamasellus>
fish,<http://dbpedia.org/resource/Longnose_trevally>
bird,<http://dbpedia.org/resource/Lesser_grey_shrike>
insect,<http://dbpedia.org/resource/Trechoblemus_micros>
invertebrate,<http://dbpedia.org/resource/Acanthogonatus_huaquen>
mammal,<http://dbpedia.org/resource/Lesser_sheath-tailed_bat>
reptile,<http://dbpedia.org/resource/Teius>
insect,<http://dbpedia.org/resource/Mordellistena_vera>
fish,<http://dbpedia.org/resource/Figaro_(genus)>
reptile,<http://dbpedia.org/resource/Small-spotted_lizard>
mammal,<http://dbpedia.org/resource/Water_deer>
reptile,<http://dbpedia.org/resource/Apostolepis>
fish,<http://dbpedia.org/resource/Slender_weasel_shark>
bird,<http://dbpedia.org/resource/Diomedeoididae>
mammal,<http://dbpedia.org/resource/Quagga>
reptile,<http://dbpedia.org/resource/Atropoides>
invertebrate,<http://dbpedia.org/resource/Amblyomma_cajennense>
mammal,<http://dbpedia.org/resource/Megaderma>
bird,<http://dbpedia.org/resource/Pluvialis>
fish,<http://dbpedia.org/resource/Apolemichthys_griffisi>
reptile,<http://dbpedia.org/resource/Bahndwivici>
bird,<http://dbpedia.org/resource/Streak-throated_woodpecker>
mammal,<http://dbpedia.org/resource/Shortridge's_multimammate_mouse>
reptile,<http://dbpedia.org/resource/Callopistes_maculatus>
insect,<http://dbpedia.org/resource/Dolichoderus_debilis>
insect,<http://dbpedia.org/resource/Sphodromantis_baccettii>
mammal,<http://dbpedia.org/resource/Watts's_spiny_rat>
bird,<http://dbpedia.org/resource/Common_kestrel>
bird,<http://dbpedia.org/resource/Stripe-cheeked_woodpecker>
insect,<http://dbpedia.org/resource/Perigonia_pallida>
insect,<http://dbpedia.org/resource/Autumnal_moth>
fish,<http://dbpedia.org/resource/Janassa>
insect,<http://dbpedia.org/resource/Nyssodrysternum_instabile>
mammal,<http://dbpedia.org/resource/Miacis_cognitus>
insect,<http://dbpedia.org/resource/Perinaenia>
reptile,<http://dbpedia.org/resource/Gallotia_galloti>
bird,<http://dbpedia.org/resource/Rondonia_warbling_antbird>
mammal,<http://dbpedia.org/resource/Daubenton's_bat>
insect,<http://dbpedia.org/resource/Coleophora_mirabibella>
mammal,<http://dbpedia.org/resource/Kronokotherium>
insect,<http://dbpedia.org/resource/Pseudoligostigma_phaeomeralis>
mammal,<http://dbpedia.org/resource/Western_barred_bandicoot>
mammal,<http://dbpedia.org/resource/Eastern_puna_mouse>
mammal,<http://dbpedia.org/resource/Rodriguez's_harvest_mouse>
mammal,<http://dbpedia.org/resource/Canut's_horseshoe_bat>
invertebrate,<http://dbpedia.org/resource/Mactra_glauca>
mammal,<http://dbpedia.org/resource/Giant_thicket_rat>
mammal,<http://dbpedia.org/resource/Prototocyon>
insect,<http://dbpedia.org/resource/Zacorisca_seramica>
mammal,<http://dbpedia.org/resource/Bactrian_deer>
insect,<http://dbpedia.org/resource/Ropica_ituriensis>
invertebrate,<http://dbpedia.org/resource/Macropenaeus>
invertebrate,<http://dbpedia.org/resource/Fragum_fragum>
mammal,<http://dbpedia.org/resource/Antarctic_minke_whale>
fish,<http://dbpedia.org/resource/Gulf_catshark>
fish,<http://dbpedia.org/resource/Painted_greenling>
mammal,<http://dbpedia.org/resource/Paucidentomys>
fish,<http://dbpedia.org/resource/Ningaloo_maskray>
mammal,<http://dbpedia.org/resource/Tien_Shan_red-backed_vole>
bird,<http://dbpedia.org/resource/Paraprefica>
mammal,<http://dbpedia.org/resource/Indian_boar>
bird,<http://dbpedia.org/resource/Indochinese_fulvetta>
bird,<http://dbpedia.org/resource/African_blue_flycatcher>
fish,<http://dbpedia.org/resource/Canestrini's_goby>
mammal,<http://dbpedia.org/resource/Great_Balkhan_mouse-like_hamster>
invertebrate,<http://dbpedia.org/resource/Aculepeira_ceropegia>
reptile,<http://dbpedia.org/resource/Bachia_heteropa>
insect,<http://dbpedia.org/resource/Aglossosia_fuscicincta>
fish,<http://dbpedia.org/resource/Hypsagonus>
invertebrate,<http://dbpedia.org/resource/Bistriopelma_lamasi>
invertebrate,<http://dbpedia.org/resource/Uca_pugnax>
fish,<http://dbpedia.org/resource/Neoglyphidodon_bonang>
reptile,<http://dbpedia.org/resource/Sonoran_collared_lizard>
mammal,<http://dbpedia.org/resource/Diclidurus>
insect,<http://dbpedia.org/resource/Euriphene_jolyana>
reptile,<http://dbpedia.org/resource/Lytorhynchus_paradoxus>
insect,<http://dbpedia.org/resource/Lepasta>
reptile,<http://dbpedia.org/resource/Anolis_proboscis>
bird,<http://dbpedia.org/resource/Sunda_coucal>
mammal,<http://dbpedia.org/resource/Broad-eared_bat>
bird,<http://dbpedia.org/resource/Napothera>
insect,<http://dbpedia.org/resource/Tomoxia_laticeps>
mammal,<http://dbpedia.org/resource/Yunnan_hare>
reptile,<http://dbpedia.org/resource/Uropeltis_dindigalensis>
amphibian,<http://dbpedia.org/resource/Proceratophrys_phyllostomus>
bird,<http://dbpedia.org/resource/Yellow-breasted_greenfinch>
fish,<http://dbpedia.org/resource/Triplophysa_waisihani>
amphibian,<http://dbpedia.org/resource/Phasmahyla_cochranae>
bird,<http://dbpedia.org/resource/American_robin>
insect,<http://dbpedia.org/resource/Polygrammodes_limitalis>
fish,<http://dbpedia.org/resource/Eotetraodon>
reptile,<http://dbpedia.org/resource/Black-headed_monitor>
fish,<http://dbpedia.org/resource/'Cichlasoma'_sieboldii>
amphibian,<http://dbpedia.org/resource/Lithobatrachus>
insect,<http://dbpedia.org/resource/Bacillidae>
invertebrate,<http://dbpedia.org/resource/Protolophus>
reptile,<http://dbpedia.org/resource/Small_forest_lizard>
invertebrate,<http://dbpedia.org/resource/Narceolaelaps>
mammal,<http://dbpedia.org/resource/Thylacoleo>
invertebrate,<http://dbpedia.org/resource/Cryptocellus_adisi>
mammal,<http://dbpedia.org/resource/Alaskan_hare>
insect,<http://dbpedia.org/resource/Sybra_erratica>
insect,<http://dbpedia.org/resource/Leucorrhinia_proxima>
mammal,<http://dbpedia.org/resource/Dall_sheep>
insect,<http://dbpedia.org/resource/Timandra_amaturaria>
mammal,<http://dbpedia.org/resource/Heliscomyidae>
mammal,<http://dbpedia.org/resource/Phascolarctos>
fish,<http://dbpedia.org/resource/Hybognathus>
bird,<http://dbpedia.org/resource/Slender-billed_gull>
fish,<http://dbpedia.org/resource/Gymnocranius>
invertebrate,<http://dbpedia.org/resource/Theotima>
invertebrate,<http://dbpedia.org/resource/Orangenacre_mucket>
insect,<http://dbpedia.org/resource/Megacyllene_guarani>
fish,<http://dbpedia.org/resource/Grenadiers_(fish)>
fish,<http://dbpedia.org/resource/Nursehound>
invertebrate,<http://dbpedia.org/resource/Sataria>
reptile,<http://dbpedia.org/resource/Eirenis_levantinus>
insect,<http://dbpedia.org/resource/Tischeria_elongata>
fish,<http://dbpedia.org/resource/Frillgill_conger>
fish,<http://dbpedia.org/resource/Green_chromide>
bird,<http://dbpedia.org/resource/Short-tailed_finch>
bird,<http://dbpedia.org/resource/Grey-crowned_crocias>
insect,<http://dbpedia.org/resource/Atherix>
insect,<http://dbpedia.org/resource/Homochlodes>
fish,<http://dbpedia.org/resource/Melanochromis_auratus>
fish,<http://dbpedia.org/resource/Red-eye_threefin>
fish,<http://dbpedia.org/resource/Naso_hexacanthus>
invertebrate,<http://dbpedia.org/resource/Evoplosoma_voratus>
invertebrate,<http://dbpedia.org/resource/Swan_mussel>
bird,<http://dbpedia.org/resource/Jamaican_mango>
insect,<http://dbpedia.org/resource/Agnippe_albidorsella>
reptile,<http://dbpedia.org/resource/Teratoscincus>
mammal,<http://dbpedia.org/resource/Ankarana_Special_Reserve_tufted-tailed_rat>
fish,<http://dbpedia.org/resource/Sweetlip_emperor>
mammal,<http://dbpedia.org/resource/Angolan_talapoin>
amphibian,<http://dbpedia.org/resource/Cheesman’s_big-eyed_tree_frog>
insect,<http://dbpedia.org/resource/Acrolepiopsis_kostjuki>
fish,<http://dbpedia.org/resource/Aspasmodes_briggsi>
amphibian,<http://dbpedia.org/resource/Cophixalus>
amphibian,<http://dbpedia.org/resource/Xenorhina>
invertebrate,<http://dbpedia.org/resource/Trachycardium_egmontianum>
mammal,<http://dbpedia.org/resource/White-winged_flying_fox>
fish,<http://dbpedia.org/resource/Eastmanalepes>
reptile,<http://dbpedia.org/resource/Uracentron>
insect,<http://dbpedia.org/resource/Badiza>
invertebrate,<http://dbpedia.org/resource/Crangonyctidae>
insect,<http://dbpedia.org/resource/Isidiella_nickerlii>
amphibian,<http://dbpedia.org/resource/Microcaecilia_rabei>
fish,<http://dbpedia.org/resource/Blueside_wrasse>
bird,<http://dbpedia.org/resource/Norfolk_starling>
mammal,<http://dbpedia.org/resource/Palaeoloxodon_naumanni>
invertebrate,<http://dbpedia.org/resource/Sitticus_saltator>
fish,<http://dbpedia.org/resource/Catesbya_pseudomuraena>
mammal,<http://dbpedia.org/resource/Judean_Mountains_blind_mole-rat>
bird,<http://dbpedia.org/resource/Striped_owl>
insect,<http://dbpedia.org/resource/Byrrhoidea>
mammal,<http://dbpedia.org/resource/Bulldog_bat>
insect,<http://dbpedia.org/resource/Xestia_dolosa>
fish,<http://dbpedia.org/resource/Microphotolepis>
invertebrate,<http://dbpedia.org/resource/Dasumia_chyzeri>
invertebrate,<http://dbpedia.org/resource/Amaurobius_hercegovinensis>
insect,<http://dbpedia.org/resource/Pseudoxenicotela_ashantica>
fish,<http://dbpedia.org/resource/Mrigal_carp>
insect,<http://dbpedia.org/resource/Ornipholidotos_michelae>
bird,<http://dbpedia.org/resource/Streaky-breasted_spiderhunter>
mammal,<http://dbpedia.org/resource/Tana_River_mangabey>
fish,<http://dbpedia.org/resource/Probolodus>
mammal,<http://dbpedia.org/resource/Bos_planifrons>
amphibian,<http://dbpedia.org/resource/Balanerpeton>
amphibian,<http://dbpedia.org/resource/Atelopus_chrysocorallus>
insect,<http://dbpedia.org/resource/Cephalotes_dentidorsum>
insect,<http://dbpedia.org/resource/Nyctegretis_triangulella>
mammal,<http://dbpedia.org/resource/Galerix>
insect,<http://dbpedia.org/resource/Bombus_auricomus>
reptile,<http://dbpedia.org/resource/Typhlops_schwartzi>
invertebrate,<http://dbpedia.org/resource/Seiodidae>
bird,<http://dbpedia.org/resource/Eremopterix>
fish,<http://dbpedia.org/resource/Indian_lizardfish>
mammal,<http://dbpedia.org/resource/Anoplotheriidae>
bird,<http://dbpedia.org/resource/Red-tailed_wheatear>
mammal,<http://dbpedia.org/resource/Brown_hairy_dwarf_porcupine>
insect,<http://dbpedia.org/resource/Hypena_iconicalis>
insect,<http://dbpedia.org/resource/Ceratophyllus_breviprojectus>
bird,<http://dbpedia.org/resource/Acre_antshrike>
